source,target,value
Other GOV.UK,/announcements,6197
Other GOV.UK,/case-studies,480
Other GOV.UK,/consultations,6516
Other GOV.UK,/fatalities,8
Other GOV.UK,/ministers,237
Other GOV.UK,/news/,17155
Other GOV.UK,/organisations,230053
Other GOV.UK,/people,19
Other GOV.UK,/policies,24925
Other GOV.UK,Policy-teams,80
Other GOV.UK,/priority,319
Other GOV.UK,/publications,630552
Other GOV.UK,/speeches,530
Other GOV.UK,/statistical-data-sets,1296
Other GOV.UK,/topics,4886
Other GOV.UK,/world,23355
Other GOV.UK,/world-location-news,1904
Other GOV.UK,(other sections),11399
Search engines (natural),/announcements,15514
Search engines (natural),/case-studies,1570
Search engines (natural),/consultations,73820
Search engines (natural),/fatalities,6137
Search engines (natural),/ministers,13039
Search engines (natural),/news/,359613
Search engines (natural),/organisations,1519819
Search engines (natural),/people,39739
Search engines (natural),/policies,200485
Search engines (natural),Policy-teams,2023
Search engines (natural),/priority,1808
Search engines (natural),/publications,646308
Search engines (natural),/speeches,35393
Search engines (natural),/statistical-data-sets,10717
Search engines (natural),/topics,15272
Search engines (natural),/world,553923
Search engines (natural),/world-location-news,16243
Search engines (natural),(other sections),46132
Referring links,/announcements,15884
Referring links,/case-studies,431
Referring links,/consultations,77491
Referring links,/fatalities,1456
Referring links,/ministers,2308
Referring links,/news/,265381
Referring links,/organisations,538185
Referring links,/people,3556
Referring links,/policies,56896
Referring links,Policy-teams,349
Referring links,/priority,462
Referring links,/publications,356066
Referring links,/speeches,16580
Referring links,/statistical-data-sets,3878
Referring links,/topics,7341
Referring links,/world,101776
Referring links,/world-location-news,19407
Referring links,(other sections),25494
Direct,/announcements,8002
Direct,/case-studies,396
Direct,/consultations,21598
Direct,/fatalities,655
Direct,/ministers,1266
Direct,/news/,85092
Direct,/organisations,325494
Direct,/people,2922
Direct,/policies,22498
Direct,Policy-teams,180
Direct,/priority,418
Direct,/publications,152595
Direct,/speeches,6612
Direct,/statistical-data-sets,2243
Direct,/topics,2360
Direct,/world,86682
Direct,/world-location-news,6955
Direct,(other sections),14944
(Other sources),/announcements,111
(Other sources),/consultations,1035
(Other sources),/fatalities,1
(Other sources),/ministers,3
(Other sources),/news/,16734
(Other sources),/organisations,2446
(Other sources),/people,18
(Other sources),/policies,252
(Other sources),/priority,1
(Other sources),/publications,16089
(Other sources),/speeches,343
(Other sources),/statistical-data-sets,95
(Other sources),/topics,21
(Other sources),/world,98
(Other sources),/world-location-news,813
(Other sources),(other sections),259
/organisations,BouncesOrganic,463286
/publications,BouncesOrganic,414980
/news/,BouncesOrganic,259238
/world,BouncesOrganic,229014
/policies,BouncesOrganic,110154
/consultations,BouncesOrganic,49704
(other sections),BouncesOrganic,29044
/people,BouncesOrganic,28612
/speeches,BouncesOrganic,27940
/world-location-news,BouncesOrganic,11996
/ministers,BouncesOrganic,7556
/statistical-data-sets,BouncesOrganic,7472
/topics,BouncesOrganic,7342
/fatalities,BouncesOrganic,5626
/announcements,BouncesOrganic,5381
/case-studies,BouncesOrganic,1211
/priority,BouncesOrganic,1140
Policy-teams,BouncesOrganic,1030
/organisations,BrowseOrganic,1056533
/publications,BrowseOrganic,231328
/news/,BrowseOrganic,100375
/world,BrowseOrganic,324909
/policies,BrowseOrganic,90331
/consultations,BrowseOrganic,24116
(other sections),BrowseOrganic,17088
/people,BrowseOrganic,11127
/speeches,BrowseOrganic,7453
/world-location-news,BrowseOrganic,4247
/ministers,BrowseOrganic,5483
/statistical-data-sets,BrowseOrganic,3245
/topics,BrowseOrganic,7930
/fatalities,BrowseOrganic,511
/announcements,BrowseOrganic,10133
/case-studies,BrowseOrganic,359
/priority,BrowseOrganic,668
Policy-teams,BrowseOrganic,993
/publications,BouncesRef,236003
/organisations,BouncesRef,218047
/news/,BouncesRef,207181
/consultations,BouncesRef,54420
/world,BouncesRef,52591
/policies,BouncesRef,31810
(other sections),BouncesRef,19872
/world-location-news,BouncesRef,14988
/speeches,BouncesRef,11900
/announcements,BouncesRef,6233
/topics,BouncesRef,3639
/statistical-data-sets,BouncesRef,2767
/people,BouncesRef,2592
/ministers,BouncesRef,1741
/fatalities,BouncesRef,1262
/case-studies,BouncesRef,314
/priority,BouncesRef,270
Policy-teams,BouncesRef,173
/publications,BrowseRef,120063
/organisations,BrowseRef,320138
/news/,BrowseRef,58200
/consultations,BrowseRef,23071
/world,BrowseRef,49185
/policies,BrowseRef,25086
(other sections),BrowseRef,5622
/world-location-news,BrowseRef,4419
/speeches,BrowseRef,4680
/announcements,BrowseRef,9651
/topics,BrowseRef,3702
/statistical-data-sets,BrowseRef,1111
/people,BrowseRef,964
/ministers,BrowseRef,567
/fatalities,BrowseRef,194
/case-studies,BrowseRef,117
/priority,BrowseRef,192
Policy-teams,BrowseRef,176
/organisations,BouncesDirect,150126
/publications,BouncesDirect,107981
/news/,BouncesDirect,67177
/world,BouncesDirect,48623
/consultations,BouncesDirect,15977
/policies,BouncesDirect,13969
(other sections),BouncesDirect,11584
/world-location-news,BouncesDirect,5429
/speeches,BouncesDirect,4929
/announcements,BouncesDirect,4050
/people,BouncesDirect,2401
/statistical-data-sets,BouncesDirect,1685
/topics,BouncesDirect,1326
/ministers,BouncesDirect,1031
/fatalities,BouncesDirect,583
